video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=TSvP4FCNpP4&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@dgmanila,David Guison,4 Days in Hong Kong | The best food & shopping finds!,94K,3 months,0:00 Intro 0:47 Cathay Pacific Lounge 3:02 Arriving in HK 3:27 Checking-in at Prince Hotel 6:26 HK Itinerary 7:07 Exploring TST ...,2024-01-29 16:18:05.359033
/watch?v=Q8RtFFKEMgE&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@SamandVictor,Sam and Victor,hong kong vlog | summer with new friends and cooking at home,149K,7 months,extrovert battery level drained for this week (jk) 0:00 new nails & pinterest breakfast 3:31 kowloon city + namkok cafe 7:09 dinner ...,2024-01-29 16:18:05.367185
/watch?v=fl_kXsQ-jwE&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@somethingscarlett,something scarlett,"vlog 🌷: life in hong kong, day out w/ friends, cafes + bakery, lots of food & shopping, daily life",7.8K,9 days,"hello! in this slice of life vlog, I show you my daily life where I visit aesthetic cafes with friends, go to the mall and grocery shopping, ...",2024-01-29 16:18:12.934540
/watch?v=PmucdCVL-y4&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@somethingscarlett,something scarlett,"vlog: life lately 🫧 winter break, solo shopping in the city, going out w/ friends, life in hong kong",15K,4 weeks,"it's winter break! ₊˚⊹｡ hello! this is a daily vlog of my daily life, ft. local eats, hanging out with friends, solo dates, city exploration, ...",2024-01-29 16:18:12.939536
/watch?v=h08tucqDG9I&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@katrinagem,Katrina Gem,"hong kong travel vlog 🇭🇰 hiked the peak, visitor voucher, bakehouse, hong kong cafes stationery shop",11K,1 month,"A quick 70-hour~ getaway to HK with my parents. Hiked up the peak for a beautiful view of the city, lined up for bakehouse egg ...",2024-01-29 16:18:12.943793
/watch?v=5t1f19lSTc4&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@DaveGuino,Dave Guino,Tried Roast Goose in HONG KONG for the First Time,No,4 hours,Klook Code: DAVEGUINO Mirador Mansion: https://invl.io/clki8z3 Ramada Hotel: https://invol.co/clkku62 Hi guys! This is Dave ...,2024-01-29 16:18:12.946718
/watch?v=M6nhZqtqCEU&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@miadeuna,Mia Deuna,Hong Kong Vlog | 4  Days Travel Guide,25,2 hours,My first international trip with noy Trip to Hong Kong yung grand prize sa company raffle last year kaya habang nagpaparaffle ...,2024-01-29 16:18:12.950050
/watch?v=tukIHzgmU5s&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@piscesvlog3488,Pisces vlog,HONG KONG VLOG ‼️ SHARP ISLAND SAIKUNG HONG KONG // PULAU TERINDAH DI HONG KONG,No,6 hours,"hongkongvlog#hiking#sharpisland Hong Kong, Geopark, Drone and Phone, exploration, adventure, Sai Kung, Kiu Tsui Chau, ...",2024-01-29 16:18:12.953013
/watch?v=AMZnrRxfFas&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@juliaxeats,Julia Ng,"Visiting Hong Kong - Best places to eat, visit, and shop | Room tour of Rosewood Hotel",20,6 hours,"Join me as I visit Hong Kong for the first time in over five years. In this vlog, I'll be sharing my experience entering Hong Kong and ...",2024-01-29 16:18:12.956156
/watch?v=D3_ffuO9ZTg&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@jenpacganern,@jenpacganern,🇲🇴 Macau Travel Vlog | Step-by-Step Guide - Ferry from HK to Macau; Macau Hop-On Hop-Off Bus Klook,30,16 hours,Explore Macau with me and my bro in this travel vlog! Learn how to take a DIY ferry ride from Hong Kong Macau Ferry Terminal ...,2024-01-29 16:18:12.959080
/watch?v=aLQxO6EipCk&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@escapesweetest,escapesweetest,"Hong Kong Vlog Day 3 - Montane Mansion, Victoria Peak, Chung Wui Building",14,4 hours,On day 3 we decided to visit those instagram hotspot to take pinterest worthy pics. Would definitely recommend Chung Wui ...,2024-01-29 16:18:12.962356
/watch?v=0Y2nNbG0VGQ&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@paolo.oribiana,Paolo Oribiana,NAIA Terminal 3 Immigration Horror Story? Hong Kong Travel Vlog 2024 Ep 1,7.8K,8 days,"In this video, I will share with you and experience ko last January 18, 2024 nung mag fly kami from Manila to #HongKong. May na ...",2024-01-29 16:18:12.965290
/watch?v=C-GIwqCxvjw&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@Travelwithtweety,Travel with tweety,MY FIRST VLOG 2024 ||Hong kong|| Disneyland,No,13 hours,"My First vlog || Travel with tweety || Hong kong || Hello, my name is saman rose and I am a new vlogger. I am really excited to start ...",2024-01-29 16:18:12.968360
/watch?v=2Zhy7wtNIl4&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@misswinona7019,Miss Winona,𝐕𝐥𝐨𝐠丨1 day Macau trip丨the most asethetic Italian restaurant in Macau丨Tamora丨Jeju style cafe,No,3 hours,"Tamora : 46B Tai Mei Tuk Tsuen, Tai Mei Tuk, Hong Kong 3. La Scala del Palazzo : Shop G13, Ground floor, Palazzo Versace ...",2024-01-29 16:18:12.971466
/watch?v=6W0l_Iy6ZZ8&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@mariquitfeniolavlog3885,MARIQUIT FENIOLA VLOG,Exploring and Ride trip by hongkong Tram@Mariquit Feniola vlog,No,1 hour,Exploring and Ride trip by Hongkong Tram@mariquitfeniolavlog3885#shortvideo #viral #youtube.,2024-01-29 16:18:12.974440
/watch?v=xOZu2OIMp7k&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@therohitchandrawanshi,Rohit chandrawanshi,Disney Land 😇| Hong Kong Vlog | Day 2|  #disneyland #hongkong,47,9 hours,"Hong Kong Disneyland is a theme park located on reclaimed land in Penny's Bay, Lantau Island, Hong Kong. It is the first ...",2024-01-29 16:18:12.977829
/watch?v=NgwdrL8UvWw&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@dzaiwenavlog,Dzai WeNa Vlog,Nagsisi AKO ayaw KO na😭😭😭 DH in HONGKONG.,893,Streamed 1 day,DH in HONGKONG.,2024-01-29 16:18:12.982934
/watch?v=0-73vRVeC-0&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@paw878,pollenpiggy,"Hongkong 2023 | Ngong Ping 360, Tai O Village",8,5 hours,"Went to Hongkong for the first time last Nov 2023. For our first stop, we went to Ngong Ping 360 and Tai O Fishing Village. (Day 1 ...",2024-01-29 16:18:12.985957
/watch?v=nmzofpdr-30&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@Arinavlogdiary,ARINAHEIDI II,hongkong central ferry pier to admiralty park playground | hong kong vlog gopro max,No,1 hour,central ferry pier no.7 hongkong central ferry pier hong kong Central ferry pier admiralty park playground singapore admiralty park ...,2024-01-29 16:18:12.988995
/watch?v=sLxkzW8A3n0&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@nomadrahees,Nomad Rahees,Stanley market Stanley beach Hong Kong walking tour #video #viral #vlog #trending @nomadrahees,No,15 hours,trending #travel #news #shortsvideo #beach Today I brought you the video of the Stanley market Stanley beach Hong Kong ...,2024-01-29 16:18:12.992029
/watch?v=j7S-FCxB7bI&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@WilliamRandomUploads,William | Random Uploads,"Day 2 of Hong Kong Travel Vlog 🇭🇰 Victoria Peak, Michelin Stars Food, IFC Mall, Night view 🌃",13,4 hours,"Day 2 for my Hong Kong Travel Vlog, it's a lengthy video but truly showcases my experience in Hong Kong well Went on a 5 ...",2024-01-29 16:18:12.995170
/watch?v=z3dBflbCvDE&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@eatandronn,Eat & Ronn,"Hong Kong Travel Vlog, Day Trip in Macau, Frozen Fun at Disneyland! 🌏✨",2.5K,2 weeks,Welcome to eatandronn! where adventure meets excitement! Join me on a thrilling journey through the vibrant streets of Hong ...,2024-01-29 16:18:21.995508
/watch?v=oq7bU4cd09A&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@ShevandDev,Shev and Dev,Our First Day in Hong Kong Surprised Us! First Impressions of Hong Kong (香港) 🇭🇰,105K,1 month,Get an exclusive Surfshark VPN Holiday Season deal! Enter promo code SHEVANDDEV to get up to 6 additional months for free ...,2024-01-29 16:18:21.996947
/watch?v=LzqnI6fBWGk&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@JenBarangan,Jen Barangan,Hong Kong and Macau Travel Guide | Expenses and Itinerary | Jen Barangan,228K,7 months,Take a trip down memory lane with me as I share about my unforgettable first trip to Hong Kong and Macau! From exploring the ...,2024-01-29 16:18:21.999658
/watch?v=MQcmqYaFhy4&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@JanandAnn,Jan and Ann,3 Places You MUST VISIT in HONG KONG! 🇭🇰 (Amazing scenery and delicious food),149K,8 months,Experience Hong Kong's beauty and cuisine! Join us today as we explore more of what this city has to offer! Places we visited ...,2024-01-29 16:18:22.004364
/watch?v=lIeU6kZ9RIM&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@ellawng,ella wang,"[TRAVEL DIARIES] °. •♡ exploring hong kong, new nails, lots of eating + shopping, cute haul",49K,8 months,̈ socials Instagram: ellawngg email: ella@select.co spotify: e.llawang ˋ♡｡⋆faq name: ella age: 18 ethnicity: Chinese camera: ...,2024-01-29 16:18:22.005734
/watch?v=QzSU3VPWUvY&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@Travelwithchris,Travelwithchris,My First Day in Hong Kong 🇭🇰 *UNREAL*,143K,8 months,"My first day in Hong Kong. In this video we will walk around the streets of one of the most iconic neighborhoods in the city, the ...",2024-01-29 16:18:22.007195
/watch?v=QoyZMyfARjE&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@Mommyhaideevlogs,Mommy Haidee Vlogs,Back again! Aberya continues + Going around!,36K,10 days,"Hi, it's Haidee and hey, it's Hazel! Welcome to our channel! We are a mother and daughter duo who shares our passion for ...",2024-01-29 16:18:22.008522
/watch?v=UTJDxZwvZNc&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@yuyusai,yuyusai,"5 Days in Hong Kong | LV show, nonstop local eats, shopping!",60K,1 month,spent almost a week in HK and it was such a fun trip! Other than attending the LV show I also took a few days to really explore the ...,2024-01-29 16:18:22.009845
/watch?v=RvW7HJHns54&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@kryzzzie,Kryzzzie,"Scottie’s first trip to HongKong, First time without yaya, toddler travel hacks",659K,10 months,Slater's maternal grandmother who lives in Hong Kong celebrated her 99th birthday and we made sure to be there for the very ...,2024-01-29 16:18:22.011364
/watch?v=8euryms6F4w&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@simplyshavlog,Simply Sha,"Hong Kong Vlog | Shop, Eat, & Explore 🇭🇰",358,6 days,Hello! Join me on this trip as I explore the vibrant streets & iconic tourist spots of Hong Kong. Thanks for visiting my channel!,2024-01-29 16:18:22.012702
/watch?v=R4y1DFUh61A&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@SamandVictor,Sam and Victor,"hong kong vlog | christmas afternoon tea, aqua luna and decorations around the city",87K,1 month,"from afternoon tea to aqua luna, here's a few things we did for the festive season! please turn on subtitles/subtítulos/字幕/ ...",2024-01-29 16:18:22.014605
/watch?v=uiZMMFILJNY&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@EoinandAisling,Eoin and Aisling,2 Days in Hong Kong On A Budget,3.3K,3 weeks,"Hong Kong!! A place we knew very little about but we're so intrigued by and in this video we spend two days exploring the city, ...",2024-01-29 16:18:22.015904
/watch?v=brMCAH0pg8A&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@aliciadang21,Alicia Dang,WE'RE IN HONG KONG! | asia vlog series 1 🇭🇰,1.2K,10 days,"Hi friends! It's my first time in Hong Kong! Come explore with my friends and I, visit Victoria Peak, go to the nightmarket, + eat ...",2024-01-29 16:18:22.017882
/watch?v=BcNo0FKBzuY&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@WhatThe_Paul,WhatThePaul,HONG KONG Travel Tips 2024 - Ano ang dapat mga bilhin at dalhin | Hong Kong Vlog,1.2K,7 days,travel #hongkong #hongkongtravel #hongkongvlog #traveltips #travelvlog #ngongping #ofw #ofwinhk #budgettravel ...,2024-01-29 16:18:22.019971
/watch?v=QUBq2oHpT38&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@SamandVictor,Sam and Victor,hong kong vlog | vintage digicam store and mid autumn fireworks,96K,3 months,"a week of mid-autumn festivities including the tai hang fire dragon, fireworks and showing you a vintage digicam store in sham ...",2024-01-29 16:18:22.021848
/watch?v=N6OGnwKBC2w&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@SamandVictor,Sam and Victor,hong kong vlog | typhoon 10 weekend and vinyl shopping in hk,218K,4 months,this vlog is for all the music lovers- we'll show you where to shop for vinyl and cds and finished the week off by staying indoors due ...,2024-01-29 16:18:22.023734
/watch?v=1eBcmQwweNA&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@JanandAnn,Jan and Ann,EXPLORING HONG KONG! 🇭🇰 This city is incredible!,125K,8 months,"Our first day in Hong Kong was off to an incredible start, thanks to the breathtaking views of Victoria Peak! It's no wonder this is ...",2024-01-29 16:18:22.025147
/watch?v=rhslBMVROqs&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@lovecharlenee,charlene yap,5 DAYS IN HONG KONG 🌳 🇭🇰 a travel vlog,1.2K,2 weeks,"dear reader, this vlog is a special one, encompassing many firsts. the first first being the first video of 2024. the second first being ...",2024-01-29 16:18:32.056465
/watch?v=k3VSpGUEMHs&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@josieliftsthings,josie lifts things,I Flew To HONG KONG For THIS!! (First Impressions of Hong Kong) 🇭🇰,414K,3 months,00:00 Intro 00:26 Breakfast Toast 03:41 Sham Shui Po 04:47 Mongkok 11:28 Dim Sum 16:26 Prince Edward 20:56 Tsim Sham ...,2024-01-29 16:18:32.061170
/watch?v=jWgWjfrljj0&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@ambie,ambi,"VLOG | Hong Kong, so much FOOD, Disneyland!, temples, fishing village 🫧",100K,10 months,Hiiii New vlog! Exciting stuff because Ambi is in asiaaaaa first stop is Hong Kong! I filmed a bunch of camera footage in the ...,2024-01-29 16:18:32.064826
/watch?v=m4egRp35HaI&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@sherylkcsy,Sheryl Chan,HONG KONG VLOG,5.6K,1 month,hey guys! i'm back with another travel vlog - this time i went to hong kong for 6 days and i was so excited to be back after 5 years!!!,2024-01-29 16:18:32.068108
/watch?v=X77Bw3R7QoA&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@viaignacio,VIA IGNACIO,"My First Time in Hong Kong! travel prep, hotel, exploring the city, good foods, 5 day itinerary!",13K,3 months,"Hey everyone, welcome back to my channel! ✨ outfits: https://lnk.bio/viaignacio day 1 (mong kok): waistcoat size (s) butter cream ...",2024-01-29 16:18:32.070991
/watch?v=jeotXNYSzUk&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@SenoritaJessy,Jessy Mendiola,HONG KONG TRIP WITH ROSIE & THE FAMILY | Jessy Mendiola,646K,2 months,"We recently went to Hong Kong for another adventure time with the little one, and the family. ✨ Super enjoy si Rosie sa ...",2024-01-29 16:18:32.074640
/watch?v=gqlSvpRVPGo&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@ReiGermar,Rei Germar,Vlogmas: Last Minute Hong Kong + a very emotional brain dump,83K,1 month,Watch in HD READ ME FOR MORE DETAILS Minimize or maximize volume if needed #ReiGermar #famiREI.,2024-01-29 16:18:32.078253
/watch?v=8zlhcpSAJ-E&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@topthingstoknow83,Top Things To Know,15 things to do (and 4 NOT to do) in Hong Kong - 2023 Travel Guide,235K,10 months,"15 things to do (and 4 NOT to do) in Hong Kong - 2023 Travel Guide. ❤️ Please LIKE and SUBSCRIBE, Thank you!",2024-01-29 16:18:32.082289
/watch?v=72EYYhhBWqY&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@DopeChinesewithGloria,Dope Chinese with Gloria,Hong Kong Vlog- We Finally Met! (Cantonese+English sub)|Dope Cantonese@CantoneseCorner,1.8K,2 weeks,I finally met Sue @CantoneseCorner in person. It's so weird that we just talked online but I feel that we have known for years.,2024-01-29 16:18:32.085514
/watch?v=qvmk_M1oafU&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@andimanzano,Andi Manzano,Exploring the WORLD OF Frozen Hong Kong Disneyland!,81K,2 months,Get ready to step into a real-life Frozen fairy tale at Hong Kong Disneyland with us! WHAT A DREAM COME TRUE. We got to visit ...,2024-01-29 16:18:32.088611
/watch?v=BRHkccr8t0w&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@laureenuy,Laureen Uy,"Back in Hong Kong: Food Trip, Sneaker Shopping, Family Bonding! | Laureen Uy",61K,6 months,"Back in HK, this time with my mom and relatives. Ang saya talaga dito. Happy watching! Tefal Garment Steamer: ...",2024-01-29 16:18:32.092184
/watch?v=bTKWnCyaNbs&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@ambie,ambi,GLOWING UP for 2024! My beauty maintenance routine + VLOG (we’re in Hong Kong) 💋,199K,2 weeks,"These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, ...",2024-01-29 16:18:32.095034
/watch?v=vTZgGJ3XnhA&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@traveltaskforce,TravelTaskforce,Best Things to Do in Hong Kong(with Prices)  | Hong Kong Travel 2023,174K,8 months,"Looking for the best things to do in Hong Kong? In this comprehensive travel guide, we'll unveil the top attractions and activities ...",2024-01-29 16:18:32.098995
/watch?v=GvVHHInPV-Y&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@KritikaGoel,Kritika Goel,"EXPLORING HONG KONG 🇭🇰 Vlog #1: Sightseeing, Trying Street Food, Dragon’s Back Hike and More!",179K,4 years,"If you're planning a trip to Hong Kong, I hope my vlog series will help you plan your itinerary! Hope you enjoy this video!",2024-01-29 16:18:32.103502
/watch?v=bftVaGdqRPQ&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@RicaPeralejoBonifacio,Rica Peralejo-Bonifacio,"Sneaker Street, Street Food, Legoland, & Challenges When Traveling with Kids",4.6K,1 day,Hong Kong after how many years proves to be so different! First off I did not even know that HKG is geographically made up of ...,2024-01-29 16:18:32.106659
/watch?v=SXqdwkINmCc&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@JmBanquicio,Jm Banquicio,Let's go to Hong Kong with Papang! + Travel tips + Hotel Room Tour! 🇭🇰 | Jm Banquicio,103K,7 months,"They say, third time is the charm! Let's go to Hong Kong with Papang! :) Enjoy watching! Connect with me! Facebook: ...",2024-01-29 16:18:32.109529
/watch?v=M9v6ZR96N4k&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@sucx2bu,lisa 愛,"HONG KONG VLOG☁️: what i ate, disneyland, exploring the city & cute outfits",3.9K,1 month,finally a travelling vlog! ☁️ Socials: Tiktok: @sucx2bu Instagram: @sucx2bu Business inquires: businessxlisa@gmail.com bgm: ...,2024-01-29 16:18:32.112387
/watch?v=CgenjHXjvoQ&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@AngelicaandAileenWanders,Angelica & Aileen Wanders,2024 Hong Kong Food Guide: 15 Must-Try CHEAP Eats (w/ Prices) • Hong Kong Best Street Food Tour,21K,2 weeks,The Ultimate Budget Hong Kong Food Guide 2024 We tasted 15 of the Most Famous CHEAP EATS in Hong Kong.,2024-01-29 16:18:32.116929
/watch?v=UANN-Si3MW8&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@WhatThe_Paul,WhatThePaul,Hong Kong Vlog Worst or Best Hotel to stay in Hong Kong | Nina Hotel Causeway Bay Room,1.7K,3 weeks,hongkong #travel #travelvlog #worldoffrozen #hotel #besthotels #traveltips Ang lakas maka Korean Drama scene ng background ...,2024-01-29 16:18:32.120065
/watch?v=ms_qAZiHgPA&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@JanandAnn,Jan and Ann,This is what SHOPPING in Hong Kong is like! 🇭🇰,424K,8 months,"Hong Kong is famous for its vibrant and lively shopping scene! Whether it's luxurious malls or bustling flea markets, you will ...",2024-01-29 16:18:32.122996
